Maze,Algorithm,Time in seconds,Steps,Memory (KB),Iterations
maze_20x20.png,DFS,0,127,20.71875,
maze_20x20.png,BFS,0.005503893,79,55.375,
maze_20x20.png,A*,0,79,22.953125,
maze_20x20.png,MDP Value Iteration,2.190730094909668,79,47.91015625,114
maze_20x20.png,MDP Policy Iteration,10.52851390838623,79,49.26171875,80
maze_40x40.png,DFS,0.015708208084106445,223,108.4609375,
maze_40x40.png,BFS,0.024798154830932617,163,286.9921875,
maze_40x40.png,A*,0.005007982,163,94.515625,
maze_40x40.png,MDP Value Iteration,16.109477281570435,163,181.3476563,216
maze_40x40.png,MDP Policy Iteration,56.96292233467102,163,182.6992188,159
maze_60x60.png,DFS,0.005581856,403,54.8359375,
maze_60x60.png,BFS,0.047015905,239,706.8125,
maze_60x60.png,A*,0,239,154.4375,
maze_60x60.png,MDP Value Iteration,58.90659713745117,239,402.3164063,348
maze_60x60.png,MDP Policy Iteration,167.06722593307495,239,353.2539063,248
maze_80x80.png,DFS,0.015728712,647,344.46875,
maze_80x80.png,BFS,0.062920094,319,735.3984375,
maze_80x80.png,A*,0.012714385986328125,319,196.0078125,
maze_80x80.png,MDP Value Iteration,155.4157271385193,319,710.7539063,530
maze_80x80.png,MDP Policy Iteration,377.1318733692169,319,611.4140625,357
maze_100x100.png,DFS,0.074936152,1539,1451.359375,
maze_100x100.png,BFS,0.082310677,399,1366.117188,
maze_100x100.png,A*,0.005502939,399,198.1015625,
maze_100x100.png,MDP Value Iteration,277.1564507484436,399,1106.691406,588
maze_100x100.png,MDP Policy Iteration,790.7078700065613,399,951.1640625,452
